Atributo veicular,Valor
Ano,2026
Preço,R$ 194.700
Desvalorização,"1,46%"
Propulsão,Combustão
IPVA,R$ 7.788
Seguro,R$ 6.230
Revisões,R$ 4.782 até 50.000
Procedência,Nacional
Garantia,10 anos
Porte,Médio
Lugares,5
Portas,4
Plataforma,TNGA
Índice,CNW
Ranking,CNW
Instalação,Dianteiro
Aspiração,Natural
Disposição,Transversal
Alimentação Injeção direta e indi,Presente
Cilindros,4 em linha
Tuchos,Hidráulicos
Variação do comando,Admissão e escape
Cilindrada unitária,497 cm3
Acionamento comando,Corrente
Válvulas por cilindro,4
Diâmetro do cilindro,"80,5 mm"
Razão de compressão 13,1
Curso do pistão,"97,6 mm"
Deslocamento - cm3,Presente
Potência máxima - cv (A),167 cv (G
Potência máxima - Código do motor,M20A-FKB
Potência máxima - Torque máximo,"21,3 kgfm (A) 20,8 k"
Potência máxima - Peso/potência,"8,11 kg/cv"
Potência máxima - Torque específico,"10,7 kgfm/litro"
Potência máxima - Peso/torque,"66,7 kg/kgfm"
Potência máxima - Potência específica,"88,1 cv/litro"
Potência máxima - Viscosidade do óleo,0W-20 ou 5W-303
Tração,Dianteira
Câmbio CVT de,10 marchas
Código do câmbio,K120
Acoplamento,Conversor de torque
"Dianteira Independente,",McPherson
Elemento elástico,Mola helicoidal
Traseira,Eixo de torção
Dianteiros,Disco ventilado
Traseiros,Disco sólido
Assistência,Elétrica
Diâmetro de giro,11 m
Dianteiros,225/50 R18
Altura do flanco,113 mm
Traseiros,225/50 R18
Estepe,155/70 R17
mm,Presente
Largura,1825 mm
Distância entre-eixos,2640 mm
Altura,1620 mm
Bitola,dianteira 1559 mm
Bitola,traseira 1571 mm
Porta-malas,440 litros
Tanque de combustível,47 litros
kg,Presente
Carga útil,450 kg
Reboque sem freio,700 kg
Reboque com freio,700 kg
Ângulo de entrada,21 graus
Ângulo de saída,36 graus
Altura mínima do solo,161 mm
Velocidade máxima,195 km/h
Aceleração,"0-100 km/h 9,8 s"
Urbano,"7,6 km/l (A)"
Rodoviário,"8,8 km/l (A)"
"11,2",km/l (G)
13,km/l (G)
Urbana,357 km (A)
Rodoviária,414 km (A)
526,km (G)
611,km (G)
Freios ABS,Presente
Airbags frontais,Presente
Airbags laterais,Presente
Airbags de cortina,Presente
Alarme antifurto perimétrico,Presente
Alarme antifurto volumétrico,Presente
Câmera traseira para manobras,Presente
Câmeras para visão de 360 g,Presente
Cintos de três pontos para todos os ocupantes,Presente
Encosto de cabeça para todo,Presente
Faróis de LED,Presente
Faróis com refletores duplos,Presente
Faróis com regulagem de altura,Presente
Faróis de neblina,Presente
Limpador e lavador do vidro traseiro,Presente
Luz de neblina traseira,Presente
Repetidores laterais das luzes de direção,Presente
Travamento central das porta,Presente
Luz de condução diurna,Presente
Desembaçador do vidro trase,Presente
ISOFIX para fixação de cadeira infantil,Presente
Alerta de colisão frontal,Presente
Alerta de tráfego cruzado traseiro,Presente
Assistente de partida em ram,Presente
Sensores de estacionamento dianteiro,Presente
Sensores de estacionamento,Presente
Assistente de farol alto,Presente
Alerta de ponto cego,Presente
Alerta de mudança de faixa,Presente
Assistente de permanência e,Presente
Frenagem automática de emergência,Presente
Chamada de assistência de e,Presente
Assistência na recuperação veicular,Presente
Freios a disco nas quatro rod,Presente
Estepe,Presente
Frenagem automática em ma,Presente
Ar-condicionado,Presente
Zonas de ar-condicionado,2
Ar quente,Presente
Saída de ar para o banco traseiro,Presente
Direção assistida,Presente
Banco do motorista com ajuste de altura,Presente
Apoio de braço para o motorista,Presente
Apoio de braço central no banco traseiro,Presente
Câmbio automático,Presente
Ajuste do volante em altura,Presente
Ajuste do volante em profundidade,Presente
Cintos de segurança com ajuste de altura,Presente
Bancos revestidos em couro,Presente
Banco do motorista com ajuste elétrico,Presente
Assistente de centralização,Presente
Faróis com acendimento automático,Presente
Limpador de para-brisa automático,Presente
Ajuste elétrico dos retrovisores,Presente
Retrovisores rebatíveis eletricamente,Presente
Retrovisor interno fotocrômico,Presente
Rodas de liga leve,Presente
Teto solar elétrico,Presente
Troca de marchas no volante,Presente
Banco traseiro bipartido,Presente
Banco traseiro rebatível,Presente
Banco traseiro reclinável,Presente
Destravamento interno/remoto,Presente
Luz no porta-malas,Presente
Luz de teto traseira,Presente
Destravamento interno da tampa de combustível,Presente
Chave presencial,Presente
Freio de estacionamento eletromecânico,Presente
Auto Hold,Presente
Tampa traseira motorizada,Presente
Alças de segurança no teto,Presente
Rádio,Presente
Tomada de 12 volts,Presente
Volante multifuncional,Presente
Termômetro do líquido de arr,Presente
Indicador de temperatura externa,Presente
Espelhamento da tela do celu,Presente
Carregador de celular por indução,Presente
Informação de trânsito em te,Presente
Roteador Wi-Fi,Presente
Informações do veículo através de aplicativo,Presente
